Ranking,Fund Short Name,Investment Strategy,Dummy,Fund Company,Dummy,Recent Month Return,Dummy,Lastest NAV,Cumulative Return,Dummy,Dummy,Dummy,Annalized Return,Sharpe Ratio,Year Rating
21170,高毅晓峰1号睿远5号基金,股票策略,查看,高毅资产,查看,10.51%,查看,1.0925,9.25%,查看,查看,查看,,,
21171,世纪黄金鼎股债双赢,债券策略,查看,世纪证券,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21172,凯兴博远2号,其他,查看,凯兴资产,查看,-61.00%,查看,0.3900,-61.00%,查看,查看,查看,,,
21173,久久益收益互换1号基金,其他,查看,久久益资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21174,中国机遇策略配置1号A基金,组合策略,查看,弘尚资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21175,全球博弈宏观对冲专户,其他,查看,广济桥资本,查看,1.52%,查看,1.6687,66.87%,查看,查看,查看,,,
21176,观复一号基金,股票策略,查看,观复投资,查看,1.33%,查看,1.1645,16.45%,查看,查看,查看,,,
21177,瑞达期货-瑞智无忧共赢2号,股票策略,查看,瑞达期货,查看,4.49%,查看,1.0449,4.49%,查看,查看,查看,,,
21178,兆西财富10号基金,股票策略,查看,上海兆西,查看,-19.92%,查看,0.6350,-36.50%,查看,查看,查看,,,
21179,浑元新东阳价值成长C,股票策略,查看,浑元资产,查看,-2.38%,查看,0.9040,-9.60%,查看,查看,查看,,,
21180,国邦粹,其他,查看,国邦资本,查看,13.55%,查看,1.1310,13.10%,查看,查看,查看,,,
21181,郑州经开区债务置换,其他,查看,建合投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21182,菩提专户一号,股票策略,查看,菩提投资,查看,9.11%,查看,1.6123,61.23%,查看,查看,查看,,,
21183,鑫安泽雨1期-2号,股票策略,查看,易鑫安资产,查看,--,查看,0.9648,-3.52%,查看,查看,查看,,,
21184,植瑞-拓展2号,股票策略,查看,植瑞投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21185,成长之星1期006兴聚投资,股票策略,查看,兴聚投资,查看,--,查看,2.0757,107.57%,查看,查看,查看,,,
21186,菁英久久益新三板30指数,定向增发,查看,菁英时代,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21187,恒泰华盛1号,多策略,查看,恒泰华盛,查看,30.88%,查看,1.3180,31.80%,查看,查看,查看,,,
21188,通泉新天健私募投资,股票策略,查看,通泉资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21189,天弘天部资产安邑1号,债券策略,查看,蓝石资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21190,巨牛厚石量化对冲二号,套利策略,查看,巨牛投资,查看,--,查看,1.7668,76.68%,查看,查看,查看,,,
21191,实盈稳赢CTA一号,管理期货,查看,实盈投资,查看,-6.49%,查看,0.9465,-5.35%,查看,查看,查看,,,
21192,中海容熙精选1号,其他,查看,容熙投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21193,量子进取1号,股票策略,查看,量子矩阵,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21194,盛宇十六号,其他,查看,盛宇投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21195,金柳天水量化,对冲策略,查看,金柳投资,查看,11.30%,查看,1.1130,11.30%,查看,查看,查看,,,
21196,臣君-嵩山灵活配置D-10号,债券策略,查看,臣君(北京),查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21197,通和进取五期2号,多策略,查看,通和投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21198,海燕四季收益2期,股票策略,查看,海燕投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21199,平安磐海兴锐专享1号,管理期货,查看,平安磐海资本,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21200,伊谦投资波动率策略1号,管理期货,查看,伊谦投资,查看,--,查看,0.8156,-18.44%,查看,查看,查看,,,
21201,精选影视投资私募1号,股票策略,查看,海上丝绸之路,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21202,亘信聚星壹号,股票策略,查看,宁夏亘信,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21203,丰盛泓宇-金利1号,股票策略,查看,丰盛泓宇,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21204,中石祥瑞一号,股票策略,查看,中石基金,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21205,高维子策略D1,多策略,查看,高维资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21206,证大价值,股票策略,查看,证大投资,查看,-20.65%,查看,1.0605,6.05%,查看,查看,查看,,,
21207,良欣8号,股票策略,查看,掌福资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21208,雁丰多策略信享1号,多策略,查看,雁丰投资,查看,--,查看,1.0320,3.20%,查看,查看,查看,,,
21209,宏创,股票策略,查看,宏创,查看,8.83%,查看,1.4449,68.11%,查看,查看,查看,,,
21210,中证金葵花恒远29号,债券策略,查看,中证金葵花,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21211,念空银河海金沙,股票策略,查看,呈瑞投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21212,益菁汇东证普惠夸客4号,股票策略,查看,益菁汇资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21213,东源定增量化1期,其他,查看,东源投资,查看,5.45%,查看,1.3086,30.86%,查看,查看,查看,,,
21214,浙商上海1期,股票策略,查看,浙商控股,查看,1.14%,查看,1.0298,2.98%,查看,查看,查看,,,
21215,凤凰1号私募,股票策略,查看,华骐资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21216,光大阳光稳债分级A,债券策略,查看,光大证券,查看,0.03%,查看,1.0061,0.61%,查看,查看,查看,,,
21217,融赢国信1号,股票策略,查看,国信证券,查看,--,查看,0.8457,-15.43%,查看,查看,查看,,,
21218,国联汇金5号（A份额）,其他,查看,国联证券,查看,--,查看,1.0112,1.12%,查看,查看,查看,,,
21219,国金歌赋山对冲分级A级,股票策略,查看,国金证券,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21220,招商智远安赢普通级,债券策略,查看,招商证券,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21221,红移二期,股票策略,查看,华宝证券,查看,10.02%,查看,1.1090,10.90%,查看,查看,查看,,,
21222,宏富二号,股票策略,查看,宏信证券,查看,--,查看,1.0110,1.10%,查看,查看,查看,,,
21223,华融分级固利33号,债券策略,查看,华融证券,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
