Ranking,Fund Short Name,Investment Strategy,Dummy,Fund Company,Dummy,Recent Month Return,Dummy,Lastest NAV,Cumulative Return,Dummy,Dummy,Dummy,Annalized Return,Sharpe Ratio,Year Rating
43680,耀盈稳健转债,股票策略,查看,耀之资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43681,歌斐大趋势主题一期,股票策略,查看,歌斐诺宝资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43682,锋滔量化对冲1号(私募),股票策略,查看,上海锋滔,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43683,润壹私募基金,股票策略,查看,润石兆一,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43684,千为奎屯1号,股票策略,查看,千为投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43685,新财道稳健增益6号,股票策略,查看,新财道投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43686,高毅利伟朴实精选C期,股票策略,查看,高毅资产,查看,--,查看,1.0674,6.74%,查看,查看,查看,,,
43687,渤源达朗,股票策略,查看,渤源资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43688,成泉汇涌八期尊享AN期,股票策略,查看,成泉资本,查看,--,查看,1.0058,0.58%,查看,查看,查看,,,
43689,君之健中山1号,股票策略,查看,君之健投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43690,因诺天跃二号,套利策略,查看,因诺资产,查看,--,查看,1.0151,1.51%,查看,查看,查看,,,
43691,菁英时代成长2号,股票策略,查看,菁英时代,查看,--,查看,1.3419,34.19%,查看,查看,查看,,,
43692,晟视资产-财富成长2号,股票策略,查看,德利资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43693,明华鉴真一号,股票策略,查看,明华信德投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43694,中科博亿私募债权(II期),其他,查看,协和资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43695,启元CTA量化私募一号,管理期货,查看,汉方资管,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43696,海棠熹嫄影视1号,其他,查看,金海棠,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43697,亮威私募学院菁英122号,股票策略,查看,亮威资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43698,翌银玖德壹号,股票策略,查看,翌银玖德,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43699,上海金王1期,股票策略,查看,金王资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43700,中金成长壹号,股票策略,查看,中金镜凯,查看,--,查看,0.9600,-4.00%,查看,查看,查看,,,
43701,斐查兹北风之神1号,股票策略,查看,斐查兹上海,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43702,耀之钜熹,债券策略,查看,耀之资产,查看,--,查看,1.0084,0.84%,查看,查看,查看,,,
43703,淳杨睿鑫1号,债券策略,查看,淳杨资产,查看,--,查看,1.0260,2.60%,查看,查看,查看,,,
43704,上达2号,股票策略,查看,北京上达,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43705,高维优选配置1号,股票策略,查看,高维资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43706,佳杰稳盈一号,股票策略,查看,佳杰投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43707,银谷定增1号银谷东海二期,定向增发,查看,银谷普思,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43708,兴业资管-兴荣11号,股票策略,查看,兴业国信资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43709,品润金戈铁马2期,其他,查看,方正中期,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43710,永兴量化对冲11号,对冲策略,查看,永兴投资,查看,-0.49%,查看,1.0140,1.40%,查看,查看,查看,,,
43711,广金资产财富管理优选2号,股票策略,查看,珠江资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43712,富满盈17号,股票策略,查看,金百灵资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43713,天循久奕之星,股票策略,查看,天循久奕投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43714,山高(烟台)君茂,其他,查看,高速投资基管,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43715,嘉信博实,股票策略,查看,嘉信博实,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43716,德威资本复合策略驭风一号,股票策略,查看,德威资本,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43717,平安财富-固盈A-041号,债券策略,查看,平安德成,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43718,千象CTA专项1期,管理期货,查看,千象资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43719,泽升优选成长1期,股票策略,查看,泽升投资,查看,--,查看,1.5427,54.27%,查看,查看,查看,,,
43720,玺涞有限合伙,管理期货,查看,东大资产,查看,--,查看,1.2030,20.30%,查看,查看,查看,,,
43721,涌乐乐源量化,对冲策略,查看,涌乐股权,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43722,冲和长胜1号,股票策略,查看,北京冲和资产,查看,-1.78%,查看,0.9930,-0.70%,查看,查看,查看,,,
43723,奥科稳健增长,股票策略,查看,奥科基金,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43724,苏华智1号,股票策略,查看,华智汇金资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43725,松树街中国绝对,其他,查看,深圳松树街,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43726,植瑞中植创盈3号24型,股票策略,查看,植瑞投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43727,则金天星起航一号,定向增发,查看,新板资本,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43728,希瑞专项,债券策略,查看,金百灵资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43729,领瑞投资瑞鑫财富9号,股票策略,查看,北京领瑞,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
